S-10B Google 0 WER: 0.39644970414201186, S:29, I:2, D:36
S-10B Kaldi 0 WER: 0.22485207100591717, S:15, I:5, D:18
S-10B Google 1 WER: 0.30656934306569344, S:47, I:5, D:32
S-10B Kaldi 1 WER: 0.16058394160583941, S:26, I:6, D:12
S-10B Google 2 WER: 0.28307692307692306, S:52, I:2, D:38
S-10B Kaldi 2 WER: 0.19384615384615383, S:34, I:6, D:23
S-10B Google 3 WER: 0.2789115646258503, S:45, I:2, D:35
S-10B Kaldi 3 WER: 0.20068027210884354, S:38, I:4, D:17
S-10B Google 4 WER: 0.29024943310657597, S:72, I:4, D:52
S-10B Kaldi 4 WER: 0.1746031746031746, S:44, I:8, D:25
S-10B Google 5 WER: 0.24772727272727274, S:56, I:11, D:42
S-10B Kaldi 5 WER: 0.16818181818181818, S:42, I:16, D:16
S-10B Google 6 WER: 0.2962962962962963, S:26, I:0, D:22
S-10B Kaldi 6 WER: 0.19135802469135801, S:13, I:2, D:16
S-10B Google 7 WER: 0.2584745762711864, S:43, I:2, D:16
S-10B Kaldi 7 WER: 0.1652542372881356, S:19, I:0, D:20
S-10B Google 8 WER: 0.28346456692913385, S:49, I:0, D:23
S-10B Kaldi 8 WER: 0.17716535433070865, S:27, I:4, D:14
S-21A Google 0 WER: 0.6588235294117647, S:73, I:0, D:95
S-21A Kaldi 0 WER: 0.4549019607843137, S:58, I:1, D:57
S-21A Google 1 WER: 0.5795454545454546, S:62, I:0, D:91
S-21A Kaldi 1 WER: 0.3939393939393939, S:46, I:7, D:51
S-21A Google 2 WER: 0.6042780748663101, S:44, I:1, D:68
S-21A Kaldi 2 WER: 0.35294117647058826, S:37, I:9, D:20
S-21A Google 3 WER: 0.6173120728929385, S:125, I:2, D:144
S-21A Kaldi 3 WER: 0.3712984054669704, S:75, I:6, D:82
S-21A Google 4 WER: 0.6227544910179641, S:137, I:5, D:170
S-21A Kaldi 4 WER: 0.43313373253493015, S:94, I:18, D:105
S-21A Google 5 WER: 0.6325757575757576, S:77, I:4, D:86
S-21A Kaldi 5 WER: 0.4015151515151515, S:45, I:3, D:58
S-21A Google 6 WER: 0.6213592233009708, S:22, I:0, D:42
S-21A Kaldi 6 WER: 0.42718446601941745, S:16, I:0, D:28
S-21A Google 7 WER: 0.6111111111111112, S:8, I:0, D:14
S-21A Kaldi 7 WER: 0.3333333333333333, S:7, I:0, D:5
S-21A Google 8 WER: 0.46153846153846156, S:7, I:0, D:11
S-21A Kaldi 8 WER: 0.2564102564102564, S:5, I:2, D:3
S-21A Google 9 WER: 0.7317073170731707, S:13, I:0, D:17
S-21A Kaldi 9 WER: 0.4878048780487805, S:8, I:0, D:12
S-21A Google 10 WER: 0.49162011173184356, S:40, I:0, D:48
S-21A Kaldi 10 WER: 0.2905027932960894, S:22, I:2, D:28
S-21A Google 11 WER: 0.6342857142857142, S:44, I:0, D:67
S-21A Kaldi 11 WER: 0.48, S:35, I:0, D:49
S-7C Google 0 WER: 0.2916666666666667, S:103, I:20, D:59
S-7C Kaldi 0 WER: 0.21794871794871795, S:67, I:39, D:30
S-7C Google 1 WER: 0.3689095127610209, S:97, I:17, D:45
S-7C Kaldi 1 WER: 0.2552204176334107, S:58, I:35, D:17
S-7C Google 2 WER: 0.263671875, S:73, I:7, D:55
S-7C Kaldi 2 WER: 0.21875, S:56, I:34, D:22
S-7C Google 3 WER: 0.3921232876712329, S:110, I:6, D:113
S-7C Kaldi 3 WER: 0.2705479452054795, S:71, I:15, D:72
